date,Oil_USD,Gold_USD,rupees_per_dollar,Kalyan,Silver_USD,Nifty50,US10Y_yield,GOLDBEES,Gold_INR_PM,Silver_INR_PM,ibja_source,MCX_Gold_close,forex_reserves_usd_bn,parity_actual,parity_pre,parity_post,domestic_premium,premium_pct,silver_parity_pre,silver_premium,post_hike,days_since_hike,delta_Gold_USD,delta_FX,delta_Oil,t,pre_restriction,lag1_premium,lag_break
2024-07-09,84.66000366210938,2360.10009765625,83.45760345458984,,,24433.19921875,4.300000190734863,61.380001068115234,72346.0,91847.0,pdf,72398.0,657.1550259999999,72825.74075998977,67126.33496138189,72825.74075998977,5219.665038618114,7.775882657113654,,,0,,0.2080564956676855,-0.0173661016437898,-1.2711327555575802,656,0,5747.40072410123,0
2024-07-10,85.08000183105469,2372.199951171875,83.49299621582031,,,24324.44921875,4.28000020980835,61.540000915527344,72616.0,91793.0,pdf,72668.0,657.1550259999999,73230.14894732645,67499.09381231832,73230.14894732645,5116.906187681685,7.580703530493723,,,0,,0.5126839123324123,0.0424080728003817,0.496099870986999,657,0,5219.665038618114,0
2024-07-11,85.4000015258789,2415.0,83.49590301513672,,,24315.94921875,4.192999839782715,61.68000030517578,72563.0,92204.0,pdf,73311.0,657.1550259999999,74553.98802346631,68719.32809119504,74553.98802346631,3843.6719088049576,5.593290876919159,,,0,,1.804234453633713,0.0034814888052236,0.3761162293574482,658,0,5116.906187681685,0
2024-07-12,85.02999877929688,2414.0,83.51850128173828,,,24502.150390625,4.189000129699707,61.88999938964844,72664.0,91827.0,pdf,73269.0,666.8541230000001,74543.28657811295,68709.46415026064,74543.28657811295,3954.535849739361,5.755445626953503,,,0,,-0.0414078674948248,0.0270651203059246,-0.433258477717835,659,0,3843.6719088049576,0
2024-07-15,84.8499984741211,2422.89990234375,83.52030181884766,,,24586.69921875,4.229000091552734,61.91999816894531,72932.0,91835.0,pdf,73471.0,666.8541230000001,74819.72472187936,68964.2680045149,74819.72472187936,3967.7319954850977,5.753315608635679,,,0,,0.3686786389291541,0.0021558541900779,-0.2116903537103254,660,0,3954.535849739361,0
2024-07-16,83.7300033569336,2462.39990234375,83.58760070800781,,,24613.0,4.166999816894531,62.43999862670898,,,,,666.8541230000001,76100.76512084776,70145.05306791187,76100.76512084776,,,,,0,,1.6302778320222977,0.0805778807003498,-1.319970698089168,661,0,3967.7319954850977,0
2024-07-17,85.08000183105469,2454.800048828125,83.52960205078125,,,,4.145999908447266,,73339.0,92014.0,pdf,74137.0,666.8541230000001,75813.2499145689,69880.03905168962,75813.2499145689,3458.960948310385,4.949855488420411,,,0,,-0.3086360387031917,-0.0693866754582051,1.6123234444004098,662,0,,0
2024-07-18,85.11000061035156,2451.800048828125,83.57209777832031,,,24800.849609375,4.189000129699707,62.90999984741211,,,,,666.8541230000001,75759.12177908845,69830.1470311598,75759.12177908845,,,,,0,,-0.1222095462085404,0.0508750508750432,0.0352594953587859,663,0,3458.960948310385,0
2024-07-19,82.62999725341797,2395.5,83.67430114746094,,,24530.900390625,4.238999843597412,62.40999984741211,73240.0,88983.0,pdf,72990.0,670.8570259999999,74110.00583810634,68310.0923377328,74110.00583810634,4929.9076622672,7.216953591415424,,,0,,-2.296274072391602,0.1222936504618132,-2.913880083596143,664,0,,0
2024-07-22,82.4000015258789,2392.0,83.73030090332031,,,24509.25,4.260000228881836,62.08000183105469,73218.0,88196.0,pdf,72718.0,670.8570259999999,74051.25202142958,68255.93664583944,74051.25202142958,4962.063354160564,7.26979014280808,,,0,,-0.1461072844917588,0.0669258722109766,-0.2783441064795,665,0,4929.9076622672,0
2024-07-23,81.01000213623047,2404.60009765625,83.67130279541016,,,24479.05078125,4.238999843597412,60.15999984741211,69602.0,84919.0,pdf,68510.0,670.8570259999999,68567.13368117448,68567.13368117448,74388.87144655721,1034.866318825516,1.5092745799138525,,,0,,0.5267599354619623,-0.0704620755851315,-1.686892431927789,666,0,4962.063354160564,0
2024-07-24,81.70999908447266,2413.300048828125,83.70680236816406,,,24413.5,4.285999774932861,59.59999847412109,,,,,670.8570259999999,68844.40916838194,68844.40916838194,74689.68919211248,,,,,0,,0.3618044921629426,0.0424274172480698,0.8640870630580055,667,0,1034.866318825516,0
2024-07-25,82.37000274658203,2351.89990234375,83.74299621582031,,,24406.099609375,4.25600004196167,59.369998931884766,68227.0,81474.0,pdf,67462.0,670.8570259999999,67121.85229934847,67121.85229934847,72820.87749457615,1105.1477006515345,1.6464797421305095,,,0,,-2.544240054782676,0.0432388367877845,0.8077391622866914,668,0,,0
2024-07-26,81.12999725341797,2380.0,83.73760223388672,,,24834.849609375,4.199999809265137,59.9900016784668,68131.0,81271.0,pdf,68186.0,667.385832,67919.43765674262,67919.43765674262,73686.18236344718,211.5623432573775,0.3114901279462742,,,0,,1.1947828914082192,-0.0064411140959119,-1.5054090710413637,669,0,1105.1477006515345,0
2024-07-29,79.77999877929688,2377.300048828125,83.72779846191406,,,24836.099609375,4.177999973297119,58.77999877929688,68800.0,82192.0,pdf,68268.0,667.385832,67834.44478405533,67834.44478405533,73593.973114777,965.555215944667,1.4233996003334626,,,0,,-0.1134433265493672,-0.0117077295159195,-1.663994231263477,670,0,211.5623432573775,0
2024-07-30,78.62999725341797,2405.0,83.75050354003906,,,24857.30078125,4.14300012588501,58.34999847412109,68680.0,81350.0,pdf,69178.0,667.385832,68643.45127545825,68643.45127545825,74471.66883658206,36.54872454174619,0.0532442991467319,,,0,,1.1651853196036122,0.0271177297648916,-1.4414659607356772,671,0,965.555215944667,0
2024-07-31,80.72000122070312,2426.5,83.73899841308594,,,24951.150390625,4.109000205993652,58.68000030517578,,,,,667.385832,69247.58963728012,69247.58963728012,75127.1019649737,,,,,0,,0.8939708939708968,-0.0137373824237618,2.658023706333412,672,0,36.54872454174619,0
2024-08-01,79.5199966430664,2435.0,83.7177963256836,,,25010.900390625,3.9760000705718994,59.09000015258789,,,,,667.385832,69472.56871291717,69472.56871291717,75371.1830375988,,,,,0,,0.3502987842571636,-0.0253192512498778,-1.4866260647787732,673,0,,0
2024-08-02,76.80999755859375,2425.699951171875,83.743896484375,,,24717.69921875,3.7920000553131104,59.66999816894531,,,,,674.918565,69228.80690272042,69228.80690272042,75106.72446993252,,,,,0,,-0.381932190066736,0.0311763565656653,-3.407946678665952,674,0,,0
2024-08-05,76.30000305175781,2401.699951171875,83.73529815673828,,,24055.599609375,3.785000085830689,58.7400016784668,,,,,674.918565,68536.8158516131,68536.8158516131,74355.9794616557,,,,,0,,-0.9894051400877292,-0.0102674081308373,-0.6639689142639238,675,0,,0
2024-08-06,76.4800033569336,2389.10009765625,84.00260162353516,,,23992.55078125,3.888000011444092,58.619998931884766,69182.0,,bullionworld,,674.918565,68394.8948403546,68394.8948403546,74202.00855321488,787.1051596454054,1.150824431388693,,,0,,-0.5246222996955541,0.31922435661067,0.2359112686452613,676,0,,1
2024-08-07,78.33000183105469,2390.5,83.93489837646484,,,24297.5,3.9679999351501465,58.20000076293945,,,,,674.918565,68379.814825687,68379.814825687,74185.64815994345,,,,,0,,0.0585953826347962,-0.0805966074404862,2.418930953084719,677,0,787.1051596454054,0
2024-08-08,79.16000366210938,2422.199951171875,83.94239807128906,,,24117.0,3.996999979019165,58.09000015258789,,,,,674.918565,69292.77697368401,69292.77697368401,75176.12596201566,,,,,0,,1.326080366947302,0.0089351330248677,1.0596218711252714,678,0,,0
2024-08-09,79.66000366210938,2432.10009765625,83.98899841308594,,,24367.5,3.941999912261963,58.65999984741211,69663.0,,bullionworld,,670.118772,69614.61903550017,69614.61903550017,75525.29423662754,48.380964499825495,0.0694982823581257,,,0,,0.4087254018639186,0.0555146658513416,0.631632108222524,679,0,,0
2024-08-12,82.30000305175781,2462.39990234375,83.94979858398438,,,24347.0,3.908999919891357,59.02000045776367,69890.0,,bullionworld,,670.118772,70449.00232613033,70449.00232613033,76430.52139155648,-559.0023261303286,-0.7934850852004022,,,0,,1.2458288504120008,-0.0466725759828312,3.3140839421077706,680,0,48.380964499825495,0
2024-08-13,80.69000244140625,2466.699951171875,83.88999938964844,,,24139.0,3.8519999980926514,59.400001525878906,,,,,670.118772,70521.75634322494,70521.75634322494,76509.45263651763,,,,,0,,0.1746283706408613,-0.0712320879199146,-1.9562582632458023,681,0,-559.0023261303286,0
2024-08-14,79.76000213623047,2439.39990234375,83.88200378417969,,,24143.75,3.819999933242798,59.61000061035156,70793.0,,bullionworld,,670.118772,69734.61409484386,69734.61409484386,75655.47755572681,1058.3859051561449,1.517733938724702,,,0,,-1.1067438021862053,-0.0095310591571418,-1.1525595204326722,682,0,,0
2024-08-15,81.04000091552734,2453.10009765625,83.97149658203125,,,,3.9260001182556152,,,,,,670.118772,70201.0756518288,70201.0756518288,76161.54433924821,,,,,0,,0.5616215405820579,0.10668891277541,1.604812869877592,683,0,1058.3859051561449,0
2024-08-16,79.68000030517578,2498.60009765625,83.94830322265625,,,24541.150390625,3.8919999599456783,59.470001220703125,,,,,674.66431,71483.41278248998,71483.41278248998,77552.75915081459,,,,,0,,1.8547958986048665,-0.0276205144829622,-1.6781843472202906,684,0,,0
2024-08-19,77.66000366210938,2501.800048828125,83.88980102539062,,,24572.650390625,3.867000102996826,60.34000015258789,,,,,674.66431,71525.0820002875,71525.0820002875,77597.96632106662,,,,,0,,0.1280697609383985,-0.0696883617891108,-2.5351363395203164,685,0,,0
2024-08-20,77.19999694824219,2511.300048828125,83.87860107421875,,,24698.849609375,3.818000078201294,60.66999816894531,,,,,674.66431,71787.0963305479,71787.0963305479,77882.2271510661,,,,,0,,0.3797265894390778,-0.0133507900066276,-0.5923341387783498,686,0,,0
2024-08-21,76.05000305175781,2508.39990234375,83.77940368652344,,,24770.19921875,3.7780001163482666,60.380001068115234,71719.0,,bullionworld,,674.66431,71619.3942505617,71619.3942505617,77700.28621523202,99.60574943829852,0.1390765036211086,,,0,,-0.1154838700269333,-0.1182630449541477,-1.4896294584770151,687,0,,1
2024-08-22,77.22000122070312,2478.89990234375,83.88860321044922,,,24811.5,3.861999988555908,60.45000076293945,71599.0,,bullionworld,,674.66431,70869.36753886359,70869.36753886359,76886.57799027652,729.6324611364107,1.0295456083141878,,,0,,-1.1760485229024398,0.1303417297339182,1.538459069027298,688,0,99.60574943829852,0
