date,ibja_am,ibja_pm
2019-06-21,,999.0
2019-06-27,,999.0
2019-07-02,,999.0
2019-07-03,,999.0
2019-07-04,,999.0
2019-07-08,,999.0
2019-07-09,,999.0
2019-07-11,,999.0
2019-07-12,,999.0
2019-07-17,,999.0
2019-08-01,,999.0
2019-08-06,,999.0
2019-08-07,,999.0
2019-08-08,,999.0
2019-08-09,,999.0
2019-08-13,,999.0
2019-08-23,,999.0
2019-08-26,,999.0
2019-09-11,,999.0
2019-09-13,,999.0
2019-09-17,,999.0
2019-09-18,,999.0
2019-09-19,,999.0
2019-09-25,,999.0
2019-09-26,,999.0
2019-10-01,,999.0
2019-10-03,,999.0
2019-10-04,,999.0
2019-10-09,,999.0
2019-10-10,,999.0
2019-10-11,,999.0
2019-10-15,,999.0
2019-10-17,,999.0
2019-10-22,,999.0
2019-10-23,,999.0
2019-10-28,,999.0
2019-10-29,,999.0
2019-10-30,,999.0
2019-11-01,,999.0
2019-11-08,,999.0
2019-11-11,,999.0
2019-11-13,,999.0
2019-11-18,,999.0
2019-11-19,,999.0
2019-11-21,,999.0
2019-11-22,,999.0
2019-11-26,,999.0
2019-11-28,,999.0
2019-11-29,,999.0
2019-12-03,,999.0
2019-12-04,,999.0
2019-12-05,,999.0
2019-12-10,,999.0
2019-12-11,,999.0
2019-12-12,,999.0
2019-12-16,,999.0
2019-12-20,,999.0
2019-12-23,,999.0
2019-12-24,,999.0
2019-12-27,,999.0
2019-12-30,,999.0
2019-12-31,,999.0
2020-01-01,,999.0
2020-01-02,,999.0
2020-01-09,,999.0
2020-01-13,,999.0
2020-01-14,,999.0
2020-01-15,,999.0
2020-01-21,,999.0
2020-01-22,,999.0
2020-01-23,,999.0
2020-01-24,,999.0
2020-01-27,,999.0
2020-01-31,,999.0
2020-02-03,,999.0
2020-02-04,,999.0
2020-02-05,,999.0
2020-02-06,,999.0
2020-02-07,,999.0
2020-02-11,,999.0
2020-02-12,,999.0
2020-02-13,,999.0
2020-02-17,,999.0
2020-02-19,,999.0
2020-02-24,,999.0
2020-02-27,,999.0
2020-02-28,,999.0
2020-03-09,,999.0
2020-03-11,,999.0
2020-03-12,,999.0
2020-03-16,,999.0
2020-03-18,,999.0
2020-03-19,,999.0
2020-03-20,,999.0
2020-03-23,,999.0
2020-03-25,,999.0
2020-03-27,,999.0
2020-04-03,,999.0
2020-04-09,,999.0
2020-04-13,,999.0
2020-04-15,,999.0
2020-04-17,,999.0
2020-04-20,,999.0
2020-04-22,,999.0
2020-04-24,,999.0
2020-04-27,,999.0
2020-04-28,,999.0
2020-04-30,,999.0
2020-05-04,,999.0
2020-05-08,,999.0
2020-05-11,,999.0
2020-05-12,,999.0
2020-05-13,,999.0
2020-05-14,,999.0
2020-05-18,,999.0
2020-05-22,,999.0
2020-05-28,,999.0
2020-05-29,,999.0
2020-06-02,,999.0
2020-06-03,,999.0
2020-06-04,,999.0
2020-06-09,,999.0
2020-06-10,,999.0
2020-06-12,,999.0
2020-06-15,,999.0
2020-06-16,,999.0
2020-06-18,,999.0
2020-06-19,,999.0
2020-06-22,,999.0
2020-06-24,,999.0
2020-06-25,,999.0
2020-06-26,,999.0
2020-06-29,,999.0
2020-07-01,,999.0
2020-07-07,,999.0
2020-07-08,,999.0
2020-07-09,,999.0
2020-07-13,,999.0
2020-07-17,,999.0
2020-07-20,,999.0
2020-07-21,,999.0
2020-07-22,,999.0
